Řádek č.;Objednací kód;Číslo dílu výrobce;Název výrobce;Výrobce / Popis;Součástka;Hodnota;Počet na DPS;Pouzdro;Dostupnost;Jednotková cena;Množství;Cena zakoupených položek;Cena použitých součástek;Poznámky;Odkaz
Line no.;Part No.;Manufacturer Part Number;Manufacturer Name;Manufacturer / Description;Part;Value;Qty. on PCB;Package;Availability;Unit Price (CZK);Qty.;Line Price (CZK);Price of used components;Notes;Link
1;2456967;STM32F411RET6;STMICROELECTRONICS;STMICROELECTRONICS  ARM MCU, Režim Dávkového Sběru, STM32 Family STM32F4 Series Microcontrollers, ARM Cortex-M4, 32bitů;U1;;1;LQFP-64_10x10mm_P0.5mm;1373;190,5460;2.0;381,09;190,55;;https://cz.farnell.com/stmicroelectronics/stm32f411ret6/mcu-32bit-cortex-m4-100mhz-lqfp/dp/2456967?ost=STM32F411RET&ddkey=https%3Acz-CZ%2FElement14_Czech_Republic%2Fsearch
2;;RFM69W-433S2;HOPE MICROELECTRONICS;HOPE MICROELECTRONICS RFM69W-433S2;U2;;1;HOPERF_RFM69HW;;93,40;2,0;186,80;93,40;;https://www.tme.eu/cz/details/rfm69w-433s2/moduly-rf/hope-microelectronics/
3;2849790;LDS3985M33R;STMICROELECTRONICS;STMICROELECTRONICS  Pevný LDO Napěťový Regulátor, 2,5V až 6V, 150 mV pokles, 3,3V/300mA výstup, SOT-23-5;U3;;1;SOT-23-5_HandSoldering;3267;19,0290;4.0;76,12;19,03;;https://cz.farnell.com/stmicroelectronics/lds3985m33r/ldo-fixed-3-3v-0-3a-sot-23-5/dp/2849790?ost=2849790&ddkey=https%3Acz-CZ%2FElement14_Czech_Republic%2Fsearch
4;3132401;TESEO-LIV3R;STMICROELECTRONICS;STMICROELECTRONICS  TINY ROM GNSS MODULE, LCC-18;IC1;;1;SON110P970X1010X230-18N;70;338,2060;2.0;676,41;338,21;;https://cz.farnell.com/stmicroelectronics/teseo-liv3r/tiny-rom-gnss-module-lcc-18/dp/3132401
5;9713794;LFXTAL003151;IQD FREQUENCY PRODUCTS;IQD FREQUENCY PRODUCTS  Krystal, 8 MHz, HC49, 50 ppm, 16 pF, 30 ppm, Série HC-49/4HSMX;Y1;8 MHz;1;Crystal_SMD_HC49-SD;3678;14,5090;3.0;43,53;14,51;;https://cz.farnell.com/iqd-frequency-products/lfxtal003151/crystal-smd-8mhz/dp/9713794
6;960-478;S150BC-B4-1A;;LED 1206 BLUE 120/120° S150BC-B4-1A (k ní rezistor 5.6 ohm);D1, D3;;2;LED_1206_3216Metric;;1,50;6.0;9,00;3,00;;https://www.gme.cz/led-1206-blue-120-120
7;960-481;S150W-W2-1B;;LED 1206 COOL WHITE 350/120° S150W-W2-1B (k ní rezistor 27 ohm);D2;;1;LED_1206_3216Metric;;2,70;6.0;16,20;2,70;;https://www.gme.cz/led-1206-cool-white-350-120 
8;2335181;1N4004-E3/54;VISHAY;VISHAY  Dioda se Standard Charakterist Obnovení, 400 V, 1 A, Samostatná, 1.1 V, 30 A;D4;;1;D_DO-41_SOD81_P10.16mm_Horizontal;32455;4,0330;5.0;20,17;4,03;;https://cz.farnell.com/vishay/1n4004-e3-54/rectifier-standard-1a-400v-do/dp/2335181
9;;;;Arduino Senzor tlaku, teploty a vlhkosti BME280;J1;;1;BME280;;233,00;1,0;233,00;233,00;;https://www.laskarduino.cz/arduino-senzor-tlaku--teploty-a-vlhkosti-bme280/
10;;;;Arduino 9DOF Gyroskop + Akcelerometr + Magnetometr MPU-9250 SPI/IIC;J2;;1;MPU-9250-4pin;;198,00;1,0;198,00;198,00;;https://www.laskarduino.cz/arduino-9dof-gyroskop-akcelerometr-magnetometr-mpu-9250-spi-iic/ 
11;832-271;112C-T B A R-R02;ATTEN;SLOT-SDMICRO/1;J3;;1;microSD_HC_Wuerth_693072010801;;28,00;2.0;56,00;28,00;;https://www.gme.cz/slot-sdmicro-1
12;800-169;;;Konektor se zámkem PSH02-03WG, Konektor se zámkem do DPS 3 kontaktů, rozteč 2,54mm;J4;;1;Batt_PHS_Hor_Long18mm;;4,40;2,0;8,80;4,40;;https://www.gme.cz/konektor-se-zamkem-psh02-03wg
13;1688077;U.FL-R-SMT-1(10);HIROSE(HRS);HIROSE(HRS)  RF / Koaxiální Konektor, UFL Koaxiální, Přímý Jack, Povrchová Montáž Vertikální, 50 ohm, Mosaz;J5, J6;;2;U.FL_Hirose_U.FL-R-SMT-1_Vertical;158442;22,6280;10.0;226,28;45,26;;https://cz.farnell.com/hirose-hrs/u-fl-r-smt-1-10/rf-coaxial-u-fl-straight-jack/dp/1688077
14;;;;Dupont 40Pin 2,54 mm pinový pás, LA217003BK (potřeba rozdělit);J7, J8;;1;PinHeader_1x03_P2.54mm_Vertical, PinHeader_1x06_P2.54mm_Vertical;;4,00;1,0;4,00;4,00;;https://www.laskarduino.cz/dupont-40pin-2-54-mm-pinovy-pas/
15;2332715;08051C104JAT2A;AVX;AVX  SMD Vícevrstvý Keramický Kondenzátor, 0.1 µF, 100 V, 0805 [2012 Metrické], ± 5%, X7R, AVX 0805 MLCC;C1, C4, C5, C6, C7;100 nF;5;C_0805_2012Metric;109512;7,4120;20.0;148,24;37,06;;https://cz.farnell.com/avx/08051c104jat2a/cap-0-1-f-100v-5-x7r-0805/dp/2332715?st=0805%20kondenzátor 
16;1658873;08051A150JAT2A;AVX;AVX  SMD Vícevrstvý Keramický Kondenzátor, 15 pF, 100 V, 0805 [2012 Metrické], ± 5%, C0G / NP0;C2, C3;15 pF;2;C_0805_2012Metric;22234;4,3480;10.0;43,48;8,70;;https://cz.farnell.com/avx/08051a150jat2a/cap-15pf-100v-5-c0g-np0-0805/dp/1658873
17;1144612;16YXF47MEFC5X11;RUBYCON;RUBYCON  Elektrolytický Kondenzátor, Miniaturní, 47 µF, 16 V, Série YXF, ± 20%, Radiální Vývodové, 5 mm;C8, C10;47 uF;2;CP_Radial_D5.0mm_P2.00mm;5204;5,1860;5.0;25,93;10,37;;https://cz.farnell.com/rubycon/16yxf47mefc5x11/cap-47-f-16v-20/dp/1144612
